filename,measurementHeight,stemDiameter,easting,northing,utmZone,decimalLatitude,decimalLongitude,stemAzimuth,stemDistance,measurementHeight_inches,stemDiameter_inches,stemDistance_inches,stemAzimuth_rad,X,Y
2015-08,130.0,10.7,321901.27,4096908.88,11N,37.001477,-119.001573,247.7,6.9,51.18113,4.2126007,271.65369000000004,4.323180557189954,-6.3839470568618975,-2.618247500750135
2015-08,130.0,11.8,321901.27,4096908.88,11N,37.001477,-119.001573,247.9,10.3,51.18113,4.645671800000001,405.51203000000004,4.326671215693943,-9.543244897979925,-3.8751099103354676
2015-08,130.0,23.9,321901.27,4096908.88,11N,37.001477,-119.001573,339.9,4.8,51.18113,9.4094539,188.97648,5.932374127528726,-1.6495665340109598,4.507652410054602
2015-08,130.0,40.4,321901.27,4096908.88,11N,37.001477,-119.001573,244.9,9.3,51.18113,15.9055204,366.14193000000006,4.274311338134114,-8.4217898308036,-3.9450546315321255
2015-08,130.0,10.1,321901.27,4096908.88,11N,37.001477,-119.001573,190.7,5.2,51.18113,3.9763801,204.72452,3.3283428835531863,-0.9654664000050005,-5.1095865420268
2015-08,130.0,28.3,321901.27,4096908.88,11N,37.001477,-119.001573,220.0,7.3,51.18113,11.1417383,287.40173,3.839724354387525,-4.692349550711737,-5.5921244347685395
2015-08,130.0,23.9,321901.27,4096908.88,11N,37.001477,-119.001573,178.5,10.9,51.18113,9.4094539,429.13409,3.115412714809878,0.2853287365558203,-10.896264842233574
2015-08,130.0,42.6,321901.27,4096908.88,11N,37.001477,-119.001573,347.4,17.7,51.18113,16.771662600000003,696.85077,6.0632738214283,-3.8611353727188167,17.273726686315825
2015-08,130.0,42.2,321901.27,4096908.88,11N,37.001477,-119.001573,201.9,3.6,51.18113,16.614182200000002,141.73236,3.5238197597765515,-1.3427560172729125,-3.3402105140361122
2015-08,130.0,18.3,321901.27,4096908.88,11N,37.001477,-119.001573,348.0,16.7,51.18113,7.204728300000001,657.48067,6.073745796940266,-3.4721252366565896,16.335064932254554
2015-08,130.0,27.5,321901.27,4096908.88,11N,37.001477,-119.001573,278.2,7.1,51.18113,10.8267775,279.52771,4.855505979048225,-7.027411239445302,1.0126654293091313
2015-08,130.0,15.5,321901.27,4096908.88,11N,37.001477,-119.001573,350.0,17.5,51.18113,6.1023655,688.97675,6.1086523819801535,-3.0388431091712818,17.234135677713642
2015-08,130.0,17.4,321901.27,4096908.88,11N,37.001477,-119.001573,343.9,14.8,51.18113,6.850397399999999,582.6774800000001,6.002187297608499,-4.104256868875199,14.21953148153239
2015-08,35.0,44.6,321901.27,4096908.88,11N,37.001477,-119.001573,172.8,14.5,13.779535000000001,17.559064600000003,570.86645,3.0159289474462017,1.8173318866824093,-14.38566316905993
2015-08,130.0,21.9,321901.27,4096908.88,11N,37.001477,-119.001573,177.6,11.2,51.18113,8.6220519,440.94512,3.099704751541929,0.46900732176703785,-11.190175697107213
2015-08,130.0,24.2,321901.27,4096908.88,11N,37.001477,-119.001573,176.9,10.9,51.18113,9.5275642,429.13409,3.087487446777969,0.5894590615340491,-10.88404970655571
2015-08,130.0,86.6,321901.27,4096908.88,11N,37.001477,-119.001573,46.8,7.7,51.18113,34.0945066,303.14977,0.8168140899333461,5.613058431144868,5.271012715650904
2015-08,130.0,66.7,321901.27,4096908.88,11N,37.001477,-119.001573,117.7,7.0,51.18113,26.259856700000004,275.5907,2.054252529597326,6.197755380280911,-3.253894320072338
2015-08,130.0,14.8,321901.27,4096908.88,11N,37.001477,-119.001573,347.5,10.1,51.18113,5.826774800000001,397.63801,6.065019150680295,-2.186040100774839,9.860589671911326
2015-08,130.0,29.3,321901.27,4096908.88,11N,37.001477,-119.001573,340.1,18.6,51.18113,11.5354393,732.2838600000001,5.935864786032715,-6.331059633962732,17.489359162393793
2015-08,130.0,17.3,321901.27,4096908.88,11N,37.001477,-119.001573,331.0,8.2,51.18113,6.811027300000001,322.83482,5.777039824101231,-3.9754388860199623,7.171881598543045
2015-08,130.0,26.2,321901.27,4096908.88,11N,37.001477,-119.001573,339.7,7.5,51.18113,10.3149662,295.27575,5.928883469024737,-2.602017386799422,7.034167009589231
2015-08,130.0,38.0,321901.27,4096908.88,11N,37.001477,-119.001573,111.4,7.7,51.18113,14.960638000000001,303.14977,1.9442967867216832,7.169129782141468,-2.8095512393996716
2015-08,130.0,38.7,321901.27,4096908.88,11N,37.001477,-119.001573,329.5,18.6,51.18113,15.236228700000002,732.2838600000001,5.750859885321316,-9.4402135510691,16.02630238421238
2015-08,130.0,29.2,321901.27,4096908.88,11N,37.001477,-119.001573,132.5,13.7,51.18113,11.4960692,539.37037,2.3125612588924866,10.1006995142987,-9.255585844334545
2015-08,130.0,16.0,321901.27,4096908.88,11N,37.001477,-119.001573,330.5,17.7,51.18113,6.299216,696.85077,5.768313177841259,-8.71589701383137,15.405295818136223
2015-08,130.0,12.1,321901.27,4096908.88,11N,37.001477,-119.001573,340.6,19.4,51.18113,4.7637821,763.77994,5.944591432292687,-6.443925958543836,18.298519564183458
